CAISO 15-Minute Real-Time Locational Marginal Prices ($/megawatt) for Zones
15-minute real-time locational marginal prices for CAISO
Source: EIA collected from CAISO
UTC Timestamp (Interval Ending),Local Timestamp Pacific Time (Interval Beginning),Local Timestamp Pacific Time (Interval Ending),Local Date,Hour Number,NP-15 LMP,SP-15 LMP,ZP-26 LMP,NP-15 (Congestion),SP-15 (Congestion),ZP-26 (Congestion),NP-15 (Energy),SP-15 (Energy),ZP-26 (Energy),NP-15 (Loss),SP-15 (Loss),ZP-26 (Loss)
2024-01-01 08:15:00,2024-01-01 00:00:00,2024-01-01 00:15:00,2024-01-01,1,46.51796,44.75898,45.29173,0.70624,0.70624,0.70624,45.92654,45.92654,45.92654,-0.11482,-1.8738,-1.34105
2024-01-01 08:30:00,2024-01-01 00:15:00,2024-01-01 00:30:00,2024-01-01,1,45.37698,43.99542,44.23843,0.70352,0.70352,0.70352,45.00197,45.00197,45.00197,-0.32851,-1.71007,-1.46706
2024-01-01 08:45:00,2024-01-01 00:30:00,2024-01-01 00:45:00,2024-01-01,1,45.94051,44.61235,44.89532,0.68281,0.68281,0.68281,45.64108,45.64108,45.64108,-0.38339,-1.71154,-1.42857
2024-01-01 09:00:00,2024-01-01 00:45:00,2024-01-01 01:00:00,2024-01-01,1,46.47642,44.76627,45.21679,0.68395,0.68395,0.68395,45.97176,45.97176,45.97176,-0.17929,-1.88944,-1.43892
2024-01-01 09:15:00,2024-01-01 01:00:00,2024-01-01 01:15:00,2024-01-01,2,46.38853,44.33086,44.99698,0.72278,0.72278,0.72278,45.62469,45.62469,45.62469,0.04106,-2.01661,-1.35049
2024-01-01 09:30:00,2024-01-01 01:15:00,2024-01-01 01:30:00,2024-01-01,2,46.29043,44.00166,44.79638,0.70127,0.70127,0.70127,45.41206,45.41206,45.41206,0.17711,-2.11166,-1.31695
2024-01-01 09:45:00,2024-01-01 01:30:00,2024-01-01 01:45:00,2024-01-01,2,46.28172,43.9585,44.77525,0.69756,0.69756,0.69756,45.37543,45.37543,45.37543,0.20873,-2.11449,-1.29774
2024-01-01 10:00:00,2024-01-01 01:45:00,2024-01-01 02:00:00,2024-01-01,2,46.72902,44.42395,45.22591,0.7008,0.7008,0.7008,45.82659,45.82659,45.82659,0.20164,-2.10344,-1.30148
2024-01-01 10:15:00,2024-01-01 02:00:00,2024-01-01 02:15:00,2024-01-01,3,47.60072,45.60856,46.2273,0.72169,0.72169,0.72169,46.87434,46.87434,46.87434,0.00469,-1.98747,-1.36873
2024-01-01 10:30:00,2024-01-01 02:15:00,2024-01-01 02:30:00,2024-01-01,3,47.1541,45.23536,45.8068,0.7143,0.7143,0.7143,46.45838,46.45838,46.45838,-0.01858,-1.93731,-1.36588
2024-01-01 10:45:00,2024-01-01 02:30:00,2024-01-01 02:45:00,2024-01-01,3,47.29113,45.26692,45.87651,0.70159,0.70159,0.70159,46.5337,46.5337,46.5337,0.05584,-1.96838,-1.35878
2024-01-01 11:00:00,2024-01-01 02:45:00,2024-01-01 03:00:00,2024-01-01,3,47.3031,45.2681,45.91539,0.69847,0.69847,0.69847,46.56738,46.56738,46.56738,0.03725,-1.99774,-1.35045
2024-01-01 11:15:00,2024-01-01 03:00:00,2024-01-01 03:15:00,2024-01-01,4,47.19287,45.03097,45.73757,0.2768,0.2768,0.2768,46.79441,46.79441,46.79441,0.12167,-2.04024,-1.33364
2024-01-01 11:30:00,2024-01-01 03:15:00,2024-01-01 03:30:00,2024-01-01,4,46.88468,44.81858,45.47471,0.27652,0.27652,0.27652,46.5337,46.5337,46.5337,0.07445,-1.99164,-1.33552
2024-01-01 11:45:00,2024-01-01 03:30:00,2024-01-01 03:45:00,2024-01-01,4,46.97075,44.79579,45.50988,0.16231,0.16231,0.16231,46.67309,46.67309,46.67309,0.13535,-2.03961,-1.32552
2024-01-01 12:00:00,2024-01-01 03:45:00,2024-01-01 04:00:00,2024-01-01,4,46.79834,44.52541,45.27997,0.30292,0.30292,0.30292,46.29174,46.29174,46.29174,0.20368,-2.06924,-1.31469
2024-01-01 12:15:00,2024-01-01 04:00:00,2024-01-01 04:15:00,2024-01-01,5,46.60913,44.51568,45.20425,0.30838,0.30838,0.30838,46.21295,46.21295,46.21295,0.0878,-2.00564,-1.31707
2024-01-01 12:30:00,2024-01-01 04:15:00,2024-01-01 04:30:00,2024-01-01,5,46.88199,44.97634,45.58671,0.33103,0.33103,0.33103,46.59289,46.59289,46.59289,-0.04193,-1.94758,-1.33722
2024-01-01 12:45:00,2024-01-01 04:30:00,2024-01-01 04:45:00,2024-01-01,5,46.96629,44.71699,45.49309,0.33044,0.33044,0.33044,46.4732,46.4732,46.4732,0.16266,-2.08665,-1.31054
2024-01-01 13:00:00,2024-01-01 04:45:00,2024-01-01 05:00:00,2024-01-01,5,48.0566,45.67521,46.51293,0.76282,0.76282,0.76282,47.06317,47.06317,47.06317,0.23061,-2.15079,-1.31306
2024-01-01 13:15:00,2024-01-01 05:00:00,2024-01-01 05:15:00,2024-01-01,6,41.09377,39.6517,40.04089,0.30609,0.30609,0.30609,40.96793,40.96793,40.96793,-0.18026,-1.62233,-1.23313
2024-01-01 13:30:00,2024-01-01 05:15:00,2024-01-01 05:30:00,2024-01-01,6,42.16268,40.64559,41.09105,0.31872,0.31872,0.31872,42.02466,42.02466,42.02466,-0.18071,-1.6978,-1.25233
2024-01-01 13:45:00,2024-01-01 05:30:00,2024-01-01 05:45:00,2024-01-01,6,46.58729,44.91944,45.4026,0.32869,0.32869,0.32869,46.45838,46.45838,46.45838,-0.19977,-1.86763,-1.38446
